,book_id,book_isbn,name,image,category
0,15866,9780010000000.0,Cyanide and Happiness,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0073/9780007318865.jpg,Humour
1,14776,9783600000000.0,Stasiland,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9783/5961/9783596167463.jpg,History-Archaeology
2,29965,9780690000000.0,Frindle,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/6898/9780689818769.jpg,Teen-Young-Adult
3,6256,9780320000000.0,Algorithms,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3215/9780321573513.jpg,Computing
4,19623,9780720000000.0,Me. You. A Diary,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7181/9780718187569.jpg,Personal-Development
5,10537,9780430000000.0,Elvis and Me,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4250/9780425091036.jpg,Entertainment
6,11126,9781410000000.0,Get The Glow,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4091/9781409157441.jpg,Food-Drink
7,17903,9780760000000.0,Ocean,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7611/9780761180517.jpg,Natural-History
8,20971,9781400000000.0,The Mythical Creatures Bible,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4027/9781402765360.jpg,Reference
9,13702,9780140000000.0,Brain On Fire: My Month of Madness,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1419/9780141975344.jpg,Health
10,6857,9780220000000.0,Square Eyes,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2240/9780224097222.jpg,Computing
11,21668,9781570000000.0,"Days of Destruction, Days of Revolt",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5685/9781568588247.jpg,Reference
12,16839,9781510000000.0,The Green Witch,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5072/9781507204719.jpg,Mind-Body-Spirit
13,15976,9780350000000.0,A Supposedly Fun Thing I'll Never Do Again,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3491/9780349110011.jpg,Humour
14,6841,9780140000000.0,If All the World and Love Were Young,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1419/9780141990026.jpg,Computing
15,4494,9781490000000.0,The Manager`s Path,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4919/9781491973899.jpg,Business-Finance-Law
16,16789,9781850000000.0,Man's Search For Meaning,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8460/9781846041242.jpg,Mind-Body-Spirit
17,28907,9780870000000.0,The Intelligent Gardener,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8657/9780865717183.jpg,Technology-Engineering
18,10661,9781620000000.0,Avatar: The Last Airbender - Smoke And Shadow Part 3,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6165/9781616558383.jpg,Entertainment
19,17724,9781890000000.0,The Yoga Tradition,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8907/9781890772185.jpg,Mind-Body-Spirit
20,26455,9781850000000.0,Top Gear: Epic Failures,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8499/9781849908207.jpg,Sport
21,1784,9780790000000.0,Don't Let the Pigeon Drive the Bus,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7868/9780786819881.jpg,Science-Geography
22,11891,9781610000000.0,Attack On Titan 1,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6126/9781612620244.jpg,Graphic-Novels-Anime-Manga
23,24202,9781470000000.0,Iron Gold,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4736/9781473646575.jpg,Science-Fiction-Fantasy-Horror
24,4598,9780090000000.0,Remote,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0919/9780091954673.jpg,Business-Finance-Law
25,18526,9780670000000.0,Ecology without Nature,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/6740/9780674034853.jpg,Natural-History
26,23641,9780430000000.0,Promises in Death,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4252/9780425228944.jpg,Romance
27,13938,9780140000000.0,The Histories,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1404/9780140449082.jpg,History-Archaeology
28,17669,9781930000000.0,Magick of You Oracle: Unlock Your Hidden Truths (Rockpool Oracle Card Series),https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9256/9781925682823.jpg,Mind-Body-Spirit
29,327,9780070000000.0,Body by Science,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0715/9780071597173.jpg,Medical
30,2066,9781780000000.0,Read This If You Want to Take Great Photographs,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7806/9781780673356.jpg,Art-Photography
31,9048,9780520000000.0,Australian Sign Language (Auslan),https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5215/9780521540568.jpg,Dictionaries-Languages
32,10026,9781780000000.0,Not My Father's Son,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7821/9781782115465.jpg,Entertainment
33,19236,9781850000000.0,What Got You Here Won't Get You There,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8466/9781846681370.jpg,Personal-Development
34,16619,9780310000000.0,The Elements of F*cking Style,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3125/9780312583774.jpg,Humour
35,17676,9780960000000.0,Human Race Get Off Your Knees,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/9559/9780955997310.jpg,Mind-Body-Spirit
36,8966,9780560000000.0,FRENCH EXPERIENCE 1 COURSEBOOK NEW EDITION,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5634/9780563472568.jpg,Dictionaries-Languages
37,23592,9780720000000.0,You'll Never See Me Again,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7181/9780718189341.jpg,Romance
38,28825,9781470000000.0,Gino's Italian Coastal Escape,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4736/9781473661516.jpg,Technology-Engineering
39,25851,9780140000000.0,The Boys in the Boat,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1431/9780143125471.jpg,Sport
40,26190,9781570000000.0,Kodokan Judo: The Essential Guide To Judo By Its Founder Jigoro Kano,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5683/9781568365398.jpg,Sport
41,14358,9780740000000.0,Japanese Candlestick Charting Techniques,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7352/9780735201811.jpg,History-Archaeology
42,12704,9781420000000.0,"Pluto: Urasawa x Tezuka, Vol. 7",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4215/9781421532677.jpg,Graphic-Novels-Anime-Manga
43,15109,9781440000000.0,Memories for My Grandchild Organizer,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4413/9781441302625.jpg,Home-Garden
44,24729,9781940000000.0,The War of Art,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9368/9781936891023.jpg,Society-Social-Sciences
45,31794,9780140000000.0,Homage to Catalonia,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1413/9780141393025.jpg,Travel-Holiday-Guides
46,16315,9780690000000.0,The Melancholy Death of Oyster Boy,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/6881/9780688156817.jpg,Humour
47,2749,9781580000000.0,Remodelista,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5796/9781579655365.jpg,Art-Photography
48,7899,9781590000000.0,Art Lab for Little Kids,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5925/9781592538362.jpg,Crafts-Hobbies
49,2967,9781850000000.0,Man's Search For Meaning,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8460/9781846041242.jpg,Biography
50,3749,9780810000000.0,Unbroken,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8129/9780812974492.jpg,Biography
51,32388,9780060000000.0,Over the Edge of the World,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0609/9780060936389.jpg,Travel-Holiday-Guides
52,12163,9780550000000.0,Thea Stilton and the Ice Treasure,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5453/9780545331340.jpg,Graphic-Novels-Anime-Manga
53,30583,9781930000000.0,But it's Not My Fault,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9344/9781934490808.jpg,Teen-Young-Adult
54,17197,9781470000000.0,The Secret Daily Teachings,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4711/9781471130618.jpg,Mind-Body-Spirit
55,27748,9780420000000.0,Visible Learning and the Science of How We Learn,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4157/9780415704991.jpg,Teaching-Resources-Education
56,32543,9781780000000.0,Death in the Dordogne,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7842/9781784299408.jpg,Travel-Holiday-Guides
57,20721,9780060000000.0,The Professor and the Madman,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0608/9780060839789.jpg,Poetry-Drama
58,30513,9780350000000.0,Twilight Tenth Anniversary/Life and Death Dual Edition,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3490/9780349002484.jpg,Teen-Young-Adult
59,21381,9780350000000.0,Rainbow in the Cloud,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3490/9780349006147.jpg,Reference
60,24026,9780580000000.0,Graceling,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5750/9780575085305.jpg,Science-Fiction-Fantasy-Horror
61,5618,9781850000000.0,The Secret Garden,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8532/9781853261046.jpg,Childrens-Books
62,18484,9780090000000.0,The Bach Flower Remedies Step by Step,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0919/9780091906535.jpg,Natural-History
63,17678,9781940000000.0,Becoming the Iceman,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9376/9781937600464.jpg,Mind-Body-Spirit
64,9548,9780010000000.0,"Easy Learning Italian Complete Grammar, Verbs and Vocabulary (3 books in 1)",https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0081/9780008141752.jpg,Dictionaries-Languages
65,3281,9781950000000.0,Becoming,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9477/9781947783775.jpg,Biography
66,9086,9781610000000.0,Wired For Story,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6077/9781607742456.jpg,Dictionaries-Languages
67,20392,9781850000000.0,George Orwell's 1984,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8494/9781849432269.jpg,Poetry-Drama
68,10836,9781420000000.0,Hal Leonard Guitar Method,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4234/9781423464211.jpg,Entertainment
69,20081,9780200000000.0,The Confessions,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1995/9780199537822.jpg,Poetry-Drama
70,3524,9780310000000.0,Wild,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3074/9780307476074.jpg,Biography
71,655,9781410000000.0,The 5:2 Fast Diet Cookbook,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4059/9781405915557.jpg,Medical
72,5589,9781450000000.0,Postman Bear,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4472/9781447273424.jpg,Childrens-Books
73,15182,9781410000000.0,LEGO (R) Architecture The Visual Guide,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4093/9781409355724.jpg,Home-Garden
74,19387,9780720000000.0,How to Be a Bawse,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7181/9780718185534.jpg,Personal-Development
75,17239,9780800000000.0,Bruce Lee Striking Thoughts,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8048/9780804834711.jpg,Mind-Body-Spirit
76,7328,9784810000000.0,Homemade Sew Chic,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9784/8053/9784805312872.jpg,Crafts-Hobbies
77,817,9781410000000.0,The Health Gap,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4088/9781408857977.jpg,Medical
78,11594,9781780000000.0,Alan Dunn's Ultimate Collection of Cake Decorating,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7800/9781780092553.jpg,Food-Drink
79,12432,9781940000000.0,Shadowhunters and Downworlders,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9378/9781937856229.jpg,Graphic-Novels-Anime-Manga
80,22509,9780780000000.0,Erasing Hell,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7814/9780781407250.jpg,Religion
81,26837,9781680000000.0,Harry Potter: Spells Pocket Journal Collection: Set of 3,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6838/9781683833581.jpg,Stationery
82,11556,9780240000000.0,Eat Right for Blood Type A,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2419/9780241954379.jpg,Food-Drink
83,1166,9781450000000.0,Gemstones of the World,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4549/9781454909538.jpg,Science-Geography
84,24092,9780770000000.0,A Darker Shade of Magic,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7653/9780765376459.jpg,Science-Fiction-Fantasy-Horror
85,13969,9781630000000.0,Voices from Chernobyl,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6289/9781628973303.jpg,History-Archaeology
86,23564,9781410000000.0,Always With Love,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4059/9781405919180.jpg,Romance
87,6788,9780470000000.0,The Master Algorithm,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4650/9780465094271.jpg,Computing
88,16817,9780940000000.0,Heal Your Body,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/9376/9780937611357.jpg,Mind-Body-Spirit
89,15622,9781940000000.0,Kinfolk Volume 14,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9418/9781941815137.jpg,Home-Garden
90,12279,9781630000000.0,A Silent Voice Complete Series Box Set,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6323/9781632366436.jpg,Graphic-Novels-Anime-Manga
91,17099,9780880000000.0,Wisdom from the Four Agreements,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8808/9780880889902.jpg,Mind-Body-Spirit
92,29245,9780910000000.0,Natural Cattle Care,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/9113/9780911311686.jpg,Technology-Engineering
93,11761,9780760000000.0,Big Bad-Ass Book of Cocktails,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7624/9780762438396.jpg,Food-Drink
94,15491,9781250000000.0,8 Weeks to Sealfit,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/2500/9781250040541.jpg,Home-Garden
95,278,9780350000000.0,Secret of Childhood,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3453/9780345305831.jpg,Medical
96,17206,9781780000000.0,The Prophet,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7813/9781781394014.jpg,Mind-Body-Spirit
97,5041,9780670000000.0,The Jolly Postman or Other People's Letters,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/6708/9780670886241.jpg,Childrens-Books
98,465,9780390000000.0,Handbook of Hypnotic Suggestions and Metaphors,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3937/9780393700954.jpg,Medical
99,31776,9780140000000.0,Eat Pray Love,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1431/9780143118428.jpg,Travel-Holiday-Guides
100,725,9780290000000.0,Gestalt Therapy,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2856/9780285626652.jpg,Medical
101,25138,9781780000000.0,Waking Up,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7841/9781784160029.jpg,Society-Social-Sciences
102,18172,9781440000000.0,The Moth Snowstorm,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4447/9781444792799.jpg,Natural-History
103,12922,9781780000000.0,The Fast 800 Recipe Book,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7807/9781780724133.jpg,Health
104,28151,9780810000000.0,Montessori A Modern Approach,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8052/9780805209204.jpg,Teaching-Resources-Education
105,30915,9781860000000.0,Weber Carburettors Tuning Tips and Techniques,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8552/9781855207592.jpg,Transport
106,9805,9780240000000.0,French-English Bilingual Visual Dictionary,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2412/9780241287286.jpg,Dictionaries-Languages
107,13067,9781930000000.0,The Obesity Code,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9252/9781925228793.jpg,Health
108,10574,9781420000000.0,The Wes Anderson Collection: Isle of Dogs,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4197/9781419730092.jpg,Entertainment
109,32094,9781740000000.0,Lonely Planet Brazilian Portuguese Phrasebook & Dictionary,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7432/9781743211816.jpg,Travel-Holiday-Guides
110,6817,9781930000000.0,Agile Coaching,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9343/9781934356432.jpg,Computing
111,8545,9780550000000.0,The Devil In The White City,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5538/9780553813531.jpg,Crime-Thriller
112,5510,9780140000000.0,The Diary of a Young Girl,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1413/9780141315188.jpg,Childrens-Books
113,21872,9780970000000.0,Shepherding A Child's Heart,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/9663/9780966378603.jpg,Religion
114,1515,9780240000000.0,Novacene,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2413/9780241399361.jpg,Science-Geography
115,29801,9780010000000.0,The Midnight Gang,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0081/9780008164614.jpg,Teen-Young-Adult
116,28367,9781450000000.0,World Class Learners,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4522/9781452203980.jpg,Teaching-Resources-Education
117,4118,9780140000000.0,The Undoing Project,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1419/9780141983042.jpg,Business-Finance-Law
118,30502,9781840000000.0,A Shakespeare Story: Macbeth,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8412/9781841213446.jpg,Teen-Young-Adult
119,19530,9781570000000.0,Eat Right for Your Type Comple,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5732/9781573229203.jpg,Personal-Development
120,10218,9781420000000.0,The Daily Ukulele - 365 Songs For Better Living,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4234/9781423477754.jpg,Entertainment
121,19501,9780070000000.0,Trade Like a Stock Market Wizard: How to Achieve Super Performance in Stocks in Any Market,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0718/9780071807227.jpg,Personal-Development
122,30046,9780140000000.0,Anna and the French Kiss,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1424/9780142419403.jpg,Teen-Young-Adult
