,userid,bookid,rating
0,233,19139,5
1,212,2608,5
2,223,25134,8
3,110,21812,4
4,44,12931,6
5,235,20798,3
6,123,30513,1
7,66,3018,6
8,157,28107,3
9,142,2503,1
10,123,25451,1
11,43,20545,1
12,75,29965,10
13,224,2381,7
14,211,2824,4
15,89,1152,6
16,153,26339,7
17,200,9651,1
18,58,8757,8
19,167,14369,1
20,16,15622,1
21,56,5756,9
22,158,21584,1
23,128,20541,5
24,218,6092,4
25,186,22783,5
26,225,21793,10
27,178,30228,10
28,172,24841,7
29,192,25566,3
30,130,31480,2
31,12,3845,8
32,106,9927,4
33,242,17440,9
34,94,12964,5
35,196,542,2
36,127,5212,8
37,199,18352,9
38,14,13320,5
39,192,27103,10
40,40,22790,10
41,91,21123,8
42,173,6104,9
43,75,595,2
44,205,20095,4
45,75,14093,4
46,17,12222,1
47,60,3281,9
48,67,28215,9
49,117,7440,9
50,159,7824,9
51,134,5618,3
52,58,31809,10
53,6,12833,1
54,239,1813,5
55,83,4773,7
56,19,30266,3
57,45,28123,1
58,19,15491,5
59,69,31238,7
60,166,26119,1
61,123,3187,9
62,14,10280,7
63,92,540,7
64,167,9637,10
65,112,2503,2
66,125,14308,4
67,213,26393,5
68,240,17066,4
69,212,2841,10
70,77,6104,2
71,228,1326,3
72,104,19510,3
73,80,2028,7
74,128,12704,10
75,209,18209,8
76,128,1697,7
77,233,23994,8
78,9,9905,4
79,138,22379,4
80,215,9038,4
81,225,18690,7
82,1,2518,7
83,29,15595,3
84,106,24746,6
85,205,26369,2
86,198,16259,6
87,217,18729,3
88,16,32143,7
89,182,24750,10
90,203,21504,3
91,199,16687,3
92,71,29148,3
93,53,27063,5
94,29,22735,3
95,148,5269,6
96,197,15564,6
97,240,5520,4
98,84,13840,9
99,36,25002,6
100,245,15912,5
101,106,1130,1
102,107,25322,5
103,249,7715,8
104,111,29237,8
105,144,24971,9
106,235,13840,4
107,220,20275,5
108,2,4724,6
109,58,32573,1
110,191,28065,4
111,99,24610,8
112,185,7177,3
113,133,14230,6
114,69,7963,9
115,223,1383,8
116,83,5799,7
117,96,6877,4
118,229,18452,4
119,6,13491,2
120,62,4866,4
121,157,5510,3
122,24,4118,2
123,219,13564,3
124,117,4457,9
125,185,28491,9
126,112,7824,9
127,75,15722,6
128,142,22935,6
129,12,2501,1
130,65,26960,6
131,134,18121,3
132,195,24658,1
133,205,20666,2
134,45,9237,9
135,30,27982,10
136,140,31947,5
137,57,23596,7
138,169,12279,4
139,165,27442,1
140,56,3059,7
141,43,15800,10
142,221,5165,2
143,215,22990,7
144,235,11126,4
145,87,26999,10
146,85,6349,8
147,215,14544,3
148,150,11056,1
149,176,15213,5
150,11,26454,9
151,53,23030,10
152,110,17095,8
153,108,18750,4
154,141,27078,2
155,126,15486,8
156,132,1849,3
157,124,28311,10
158,147,31809,1
159,57,21355,4
160,204,9336,6
161,65,20541,2
162,2,27446,5
163,29,20924,2
164,98,12038,4
165,52,29644,7
166,230,23507,7
167,222,5756,4
168,136,14748,7
169,181,5367,3
170,213,2721,1
171,104,28030,8
172,21,20422,10
173,211,8811,6
174,41,3192,2
175,135,20245,1
176,249,22086,7
177,220,18352,10
178,201,16640,7
179,249,28130,5
180,210,6528,3
181,123,24638,10
182,172,31039,4
183,188,4496,6
184,18,23800,9
185,195,15480,5
186,202,31794,10
187,26,2921,6
